Date,USD_INR,Gold
2025-01-01,85.68070220947266,7219.42
2025-01-08,86.65059661865234,7354.6
2025-01-15,86.21109771728516,7492.43
2025-01-22,86.46839904785156,7660.36
2025-01-29,86.94339752197266,7689.02
2025-02-05,87.49009704589844,8055.77
2025-02-12,86.85479736328125,8115.76
2025-02-19,86.69010162353516,8197.42
2025-02-26,87.32959747314453,8178.75
2025-03-05,87.3551025390625,8145.31
2025-03-12,86.91639709472656,8227.37
2025-03-19,85.53209686279297,8461.65
2025-03-26,85.46810150146484,8323.11
2025-04-02,86.0270004272461,8663.33
2025-04-09,86.0447998046875,8536.86
2025-04-16,85.15889739990234,9199.2
2025-04-23,85.1603012084961,9100.43
2025-04-30,84.2208023071289,8909.99
2025-05-07,84.9656982421875,9177.32
2025-05-14,85.37210083007812,8741.21
2025-05-21,85.158203125,9135.98
2025-05-28,85.36370086669922,9020.06
2025-06-04,85.75599670410156,9330.88
2025-06-11,86.10420227050781,9244.18
2025-06-18,86.23300170898438,9401.74
2025-06-25,85.71399688720703,9212.92
2025-07-02,85.89199829101562,9268.75
2025-07-09,85.96839904785156,9149.22
2025-07-16,86.19529724121094,9254.83
2025-07-23,86.77760314941406,9411.31
2025-07-30,87.89330291748047,9236.71
2025-08-06,87.66449737548828,9511.73
2025-08-13,87.29509735107422,9438.97
2025-08-20,87.60859680175781,9372.83
2025-08-27,88.00140380859375,9572.63
2025-09-03,87.98049926757812,10091.0
2025-09-10,88.12349700927734,10305.0
2025-09-17,88.30439758300781,10356.0
2025-09-24,88.70449829101562,10689.0
2025-10-01,88.72109985351562,11006.0
2025-10-08,88.66510009765625,11490.0
2025-10-15,87.87999725341797,11890.0
2025-10-22,88.22209930419922,11575.0
2025-10-29,88.72339630126953,11184.0
2025-11-05,88.70709991455078,11306.0
2025-11-12,88.63590240478516,11952.0
2025-11-19,89.14779663085938,11630.0
2025-11-26,89.61270141601562,11938.0
2025-12-03,90.12999725341795,12197.0
2025-12-10,90.7769012451172,12199.0
2025-12-17,89.60389709472656,12610.0
2025-12-24,89.9000015258789,12937.0
2025-12-31,90.23300170898438,12513.0
2026-01-07,90.13269805908205,12892.0
2026-01-14,90.90450286865234,13374.0
2026-01-21,91.71309661865234,14112.0
2026-01-28,91.78189849853516,16042.0
